032 34,ZI
032 42,ZI
032 44,ZI
032 61,ZI
033 01,ZI
034 01,ZI
034 03,ZI
034 06,ZI
034 71,ZI
034 72,ZI
034 73,ZI
034 74,ZI
034 81,ZI
034 82,ZI
034 83,ZI
034 84,ZI
034 91,ZI
034 92,ZI
034 95,ZI
034 96,ZI
036 01,ZI
038 02,ZI
038 03,ZI
038 04,ZI
038 11,ZI
038 12,ZI
038 15,ZI
038 21,ZI
038 22,ZI
038 23,ZI
038 31,ZI
038 35,ZI
038 40,ZI
038 41,ZI
038 42,ZI
038 43,ZI
038 44,ZI
038 45,ZI
038 46,ZI
038 47,ZI
038 48,ZI
038 51,ZI
038 52,ZI
038 53,ZI
038 54,ZI
038 61,ZI
039 01,ZI
040 01,KI
040 11,KI
040 12,KI
040 13,KI
040 14,KI
040 15,KI
040 16,KI
040 17,KI
040 18,KI
040 22,KI
040 23,KI
044 01,KI
044 02,KI
044 05,KI
044 10,KI
044 11,KI
044 12,KI
044 13,KI
044 14,KI
044 15,KI
044 16,KI
044 17,KI
044 18,KI
044 19,KI
044 20,KI
044 21,KI
044 23,KI
044 24,KI
044 25,KI
044 26,KI
044 31,KI
044 32,KI
044 41,KI
044 42,KI
044 43,KI
044 44,KI
044 45,KI
044 47,KI
044 54,KI
044 55,KI
044 57,KI
044 58,KI
044 61,KI
044 65,KI
044 71,KI
044 73,KI
044 74,KI
044 81,KI
045 01,KI
048 01,KI
049 01,BC
049 11,KI
049 12,KI
049 13,BC
049 14,BC
049 16,BC
049 18,BC
049 21,KI
049 22,KI
049 23,KI
049 24,KI
049 25,KI
049 26,KI
049 31,KI
049 32,KI
049 34,KI
049 35,KI
049 36,KI
049 41,KI
049 42,KI
049 43,KI
049 44,KI
049 45,KI
049 51,KI
049 52,KI
049 55,KI
049 61,BC
049 62,BC
049 64,BC
049 71,KI
049 73,KI
050 01,BC
052 01,KI
052 05,KI
053 01,KI
053 02,PV
053 03,PV
053 04,PV
053 05,PV
053 06,PV
