976 02,BC
038 02,ZI
026 01,ZI
072 13,KI
018 21,TC
922 04,TA
017 01,TC
941 43,NI
935 37,NI
059 81,PV
930 10,TA
027 44,ZI
962 75,BC
038 48,ZI
023 45,ZI
951 06,NI
900 44,BL
935 87,NI
962 65,BC
018 16,TC
053 02,PV
935 61,NI
976 39,BC
985 41,BC
033 01,ZI
976 53,BC
076 74,KI
022 01,ZI
922 41,TA
053 14,PV
980 23,BC
038 02,ZI
949 01,NI
962 68,BC
090 23,PV
980 23,BC
083 01,PV
082 04,PV
044 01,KI
962 51,BC
082 01,PV
913 03,TC
980 03,BC
049 42,KI
991 02,BC
044 31,KI
935 03,NI
982 62,BC
985 07,BC
024 01,ZI
086 45,PV
086 12,PV
020 55,TC
972 01,TC
018 41,TC
957 03,TC
082 07,PV
941 35,NI
980 35,BC
913 23,TC
090 11,PV
900 90,BL
976 97,BC
922 08,TA
908 62,TA
038 23,ZI
962 61,BC
980 41,BC
082 71,PV
032 12,ZI
053 05,PV
067 73,PV
082 06,PV
913 33,TC
991 02,BC
976 33,BC
072 15,KI
962 12,BC
922 21,TA
962 71,BC
962 52,BC
086 44,PV
038 11,ZI
018 52,TC
029 63,ZI
945 01,NI
082 52,PV
946 56,NI
980 21,BC
023 02,ZI
900 42,BL
929 01,TA
930 21,TA
091 01,PV
015 01,ZI
094 31,PV
044 45,KI
018 22,TC
044 19,KI
065 41,PV
991 27,BC
979 01,BC
941 35,NI
956 11,NI
038 45,ZI
956 55,TC
076 62,KI
044 02,KI
920 56,TA
962 68,BC
044 02,KI
972 22,TC
941 31,NI
952 01,NI
075 01,KI
930 38,TA
930 03,TA
013 15,ZI
976 52,BC
072 05,KI
972 46,TC
935 66,NI
077 01,KI
072 33,KI
032 14,ZI
982 51,BC
087 01,PV
986 01,BC
986 01,BC
986 01,BC
058 01,PV
982 66,BC
976 64,BC
082 16,PV
029 57,ZI
038 42,ZI
013 32,ZI
065 01,PV
087 01,PV
086 02,PV
086 42,PV
082 37,PV
082 12,PV
082 67,PV
930 05,TA
086 02,PV
900 61,BL
072 43,KI
924 01,TA
032 11,ZI
924 01,TA
058 01,PV
972 28,TC
020 53,TC
976 64,BC
013 02,ZI
943 42,NI
908 45,TA
044 14,KI
044 10,KI
056 01,KI
982 01,BC
980 31,BC
049 12,KI
980 46,KI
049 22,KI
982 62,BC
980 04,BC
982 52,BC
049 16,BC
980 35,BC
049 16,BC
049 13,BC
934 01,NI
082 67,PV
059 42,PV
086 04,PV
094 05,PV
087 01,PV
094 06,PV
991 22,BC
049 32,KI
049 24,KI
951 08,NI
044 55,KI
935 25,NI
951 17,NI
980 02,BC
032 14,ZI
044 57,KI
053 05,PV
985 56,BC
082 66,PV
982 52,BC
090 22,PV
094 31,PV
027 05,ZI
067 22,PV
941 23,NI
044 14,KI
027 32,ZI
067 52,PV
044 02,KI
981 01,BC
018 02,TC
945 01,NI
053 13,KI
038 22,ZI
059 04,PV
039 01,ZI
044 02,KI
987 01,BC
956 03,NI
980 33,BC
962 31,BC
951 33,NI
065 45,PV
956 55,TC
985 11,BC
065 34,PV
913 07,TC
976 66,BC
053 33,KI
913 21,TC
966 61,BC
966 71,BC
900 43,BL
972 51,TC
082 56,PV
044 57,KI
080 01,PV
049 34,KI
067 12,PV
086 46,PV
094 31,PV
053 05,PV
086 45,PV
053 01,KI
976 03,BC
900 01,BL
023 05,ZI
072 16,KI
018 02,TC
090 23,PV
061 01,PV
906 04,TA
090 02,PV
027 05,ZI
053 76,KI
072 34,KI
067 83,PV
086 14,PV
929 01,TA
055 63,KI
976 68,BC
049 23,KI
053 33,KI
093 02,PV
082 35,PV
044 45,KI
985 53,BC
082 35,PV
094 34,PV
086 42,PV
086 22,PV
927 01,NI
976 61,BC
053 63,KI
027 13,ZI
023 22,ZI
018 03,TC
906 31,TA
014 01,ZI
023 54,ZI
032 23,ZI
945 01,NI
966 01,BC
014 01,ZI
094 35,PV
073 01,KI
,TA
018 61,TC
065 01,PV
053 32,KI
053 75,KI
072 33,KI
981 01,BC
980 31,BC
980 02,BC
044 21,KI
053 61,KI
966 63,BC
916 14,TC
935 84,NI
947 01,NI
094 05,PV
946 16,NI
930 34,TA
908 51,TA
985 57,BC
951 42,NI
059 94,PV
049 32,KI
935 55,NI
962 71,BC
962 65,BC
962 68,BC
935 86,NI
022 01,ZI
020 61,TC
073 01,KI
020 61,TC
906 05,TA
962 05,BC
951 32,NI
919 65,TA
027 41,ZI
976 81,BC
018 03,TC
974 01,BC
974 01,BC
018 35,TC
930 36,TA
930 52,TA
935 31,NI
916 24,TC
991 02,BC
913 33,TC
038 46,ZI
013 06,ZI
966 01,BC
967 01,BC
972 48,TC
913 33,TC
946 12,NI
966 04,BC
913 24,TC
962 61,BC
956 54,TC
919 06,TA
966 71,BC
956 31,NI
930 39,TA
038 02,ZI
020 01,TC
906 15,TC
949 05,NI
951 45,NI
972 71,TC
919 27,TA
962 43,BC
913 26,TC
930 13,TA
956 41,TC
956 08,NI
919 03,TA
920 62,TA
957 03,TC
991 24,BC
991 25,BC
974 05,BC
962 55,BC
925 03,TA
935 84,NI
951 71,NI
914 42,TC
991 03,BC
956 03,NI
920 66,TA
935 81,NI
972 22,TC
980 26,BC
920 52,TA
962 51,BC
930 33,TA
926 01,TA
935 34,NI
013 42,ZI
962 41,BC
925 71,NI
976 02,BC
038 02,ZI
018 21,TC
017 01,TC
952 01,NI
935 37,NI
062 01,PV
027 44,ZI
962 75,BC
038 48,ZI
023 45,ZI
951 06,NI
020 62,TC
072 02,KI
934 01,NI
925 45,TA
980 04,BC
951 94,NI
980 23,BC
951 02,NI
044 02,KI
951 91,NI
067 35,PV
020 01,TC
059 11,PV
059 12,PV
916 32,TC
010 04,ZI
966 78,BC
082 33,PV
067 73,PV
089 01,PV
014 01,ZI
086 11,PV
067 01,PV
020 01,TC
913 32,TC
985 01,BC
086 06,PV
053 15,KI
059 71,PV
082 67,PV
090 42,PV
958 54,TC
985 25,BC
906 12,TA
072 06,KI
013 52,ZI
916 33,TC
916 16,TC
980 52,BC
076 03,KI
065 22,PV
059 16,PV
916 14,TC
044 42,KI
034 01,ZI
076 15,KI
049 44,KI
076 22,KI
013 41,ZI
962 05,BC
053 51,KI
982 62,BC
936 01,NI
982 66,BC
985 22,BC
919 35,TA
916 12,TC
980 13,BC
980 12,BC
976 37,BC
065 45,PV
976 45,BC
935 61,NI
976 31,BC
966 11,BC
966 11,BC
935 29,NI
935 27,NI
966 53,BC
925 23,BL
916 11,TC
951 25,NI
067 23,PV
023 52,ZI
903 01,BL
049 43,KI
076 37,KI
991 42,BC
956 13,NI
916 11,TC
980 25,BC
029 52,ZI
930 39,TA
922 21,TA
082 66,PV
034 91,ZI
980 50,BC
049 13,BC
067 45,PV
941 44,NI
066 01,PV
059 92,PV
076 62,KI
090 03,PV
906 13,TC
903 01,BL
941 50,NI
,NI
072 51,KI
022 04,ZI
985 42,BC
086 36,PV
027 32,ZI
930 41,TA
013 56,ZI
032 31,ZI
044 12,KI
972 45,TC
980 44,BC
943 65,NI
985 26,BC
027 55,ZI
067 41,PV
064 01,PV
082 15,PV
086 33,PV
082 12,PV
082 33,PV
082 33,PV
082 33,PV
951 76,NI
913 04,TC
072 63,KI
935 84,NI
900 25,BL
044 02,KI
968 01,BC
090 21,PV
946 31,NI
955 01,NI
980 42,BC
946 54,NI
053 63,KI
991 08,BC
044 44,KI
951 75,NI
949 01,NI
972 32,TC
908 64,TA
991 21,BC
922 05,TA
956 38,TC
982 62,BC
976 81,BC
906 06,TC
972 13,TC
044 74,KI
956 33,TC
953 01,NI
049 18,BC
900 84,BL
059 94,PV
967 01,BC
020 01,TC
031 01,ZI
019 01,TC
974 05,BC
991 07,BC
053 11,KI
019 01,TC
969 01,BC
946 52,NI
991 21,BC
935 35,NI
072 11,KI
072 64,KI
985 26,BC
985 41,BC
991 10,BC
935 82,NI
935 75,NI
027 53,ZI
911 05,TC
034 83,ZI
038 45,ZI
980 42,BC
985 51,BC
900 28,BL
951 12,NI
913 05,TC
962 12,BC
946 39,NI
032 23,ZI
076 72,KI
932 01,TA
067 13,PV
900 86,BL
906 32,TA
906 21,TC
053 03,PV
049 43,KI
935 06,NI
013 52,ZI
900 54,BL
976 34,BC
956 21,NI
930 21,TA
036 01,ZI
055 61,KI
083 01,PV
974 01,BC
065 12,PV
900 63,BL
082 56,PV
032 04,ZI
083 01,PV
090 31,PV
935 03,NI
966 11,BC
067 61,PV
032 21,ZI
972 31,TC
922 31,TA
962 41,BC
